lat,lon,populacija,kategorija,boja,tip_punjaca
25.17916690195,51.54583240715003,474.6178894042969,2,blue,DC
25.19583356855,51.35416574125003,471.889404296875,1,red,AC nivo 2
25.387500234450002,51.470832407450025,465.29144287109375,3,yellow,Ultra brzi
25.17916690195,51.47916574075003,463.1538391113281,2,blue,DC
25.15416690205,51.39583240775003,461.2418212890625,3,yellow,Ultra brzi
25.162500235350002,51.40416574105003,460.8977355957031,1,red,AC nivo 2
25.36250023455,51.46249907415003,460.7126770019531,1,red,AC nivo 2
25.39583356775,51.46249907415003,453.1552429199219,4,green,AC nivo 2
25.34583356795,51.37083240785003,452.5679931640625,2,blue,DC
25.19583356855,51.39583240775003,440.0686340332031,2,blue,DC
25.27083356825,51.39583240775003,439.0660400390625,2,blue,DC
25.17916690195,51.37083240785003,436.9057922363281,3,yellow,Ultra brzi
25.27083356825,51.35416574125003,428.5155944824219,1,red,AC nivo 2
25.39583356775,51.41249907435003,428.1961975097656,4,green,AC nivo 2
25.30416690145,51.38749907445003,424.8494567871094,2,blue,DC
25.35416690125,51.39583240775003,423.2275085449219,3,yellow,Ultra brzi
25.27916690155,51.57083240705003,418.78253173828125,2,blue,DC
25.15416690205,51.512499073950025,416.6302185058594,3,yellow,Ultra brzi
25.19583356855,51.520832407250026,415.93048095703125,1,red,AC nivo 2
25.36250023455,51.38749907445003,413.7095642089844,1,red,AC nivo 2
25.320833568050002,51.36249907455003,409.16650390625,2,blue,DC
25.27083356825,51.37083240785003,402.1512145996094,4,green,AC nivo 2
25.412500234350002,51.36249907455003,400.69580078125,2,blue,DC
25.20416690185,51.38749907445003,398.0283203125,1,red,AC nivo 2
25.17083356865,51.52916574055003,397.37030029296875,2,blue,DC
25.21250023515,51.54583240715003,392.4098815917969,2,blue,DC
25.17916690195,51.470832407450025,391.0779724121094,1,red,AC nivo 2
25.19583356855,51.53749907385003,385.04132080078125,1,red,AC nivo 2
25.387500234450002,51.512499073950025,384.0574035644531,2,blue,DC
25.26250023495,51.379165741150025,381.1827087402344,1,red,AC nivo 2
25.39583356775,51.36249907455003,380.9190979003906,3,yellow,Ultra brzi
25.26250023495,51.39583240775003,377.6129150390625,4,green,AC nivo 2
25.412500234350002,51.48749907405003,372.2105407714844,2,blue,DC
25.39583356775,51.512499073950025,370.9841613769531,3,yellow,Ultra brzi
25.21250023515,51.55416574045003,365.2239990234375,1,red,AC nivo 2
25.15416690205,51.612499073550026,359.6458435058594,1,red,AC nivo 2
25.412500234350002,51.49583240735003,356.5744934082031,2,blue,DC
25.19583356855,51.48749907405003,355.4444580078125,2,blue,DC
25.21250023515,51.58749907365003,354.37347412109375,2,blue,DC
25.37916690115,51.35416574125003,349.1428527832031,1,red,AC nivo 2
25.36250023455,51.45416574085003,346.8529968261719,1,red,AC nivo 2
25.22083356845,51.57083240705003,345.74932861328125,2,blue,DC
25.40416690105,51.520832407250026,344.9748229980469,1,red,AC nivo 2
25.17916690195,51.512499073950025,339.7942810058594,1,red,AC nivo 2
25.31250023475,51.379165741150025,339.4114074707031,2,blue,DC
25.412500234350002,51.35416574125003,335.9826354980469,1,red,AC nivo 2
25.21250023515,51.50416574065003,335.5304260253906,3,yellow,Ultra brzi
25.27083356825,51.36249907455003,334.4156799316406,1,red,AC nivo 2
25.37916690115,51.50416574065003,334.3191833496094,2,blue,DC
25.40416690105,51.512499073950025,329.5210876464844,4,green,AC nivo 2
25.34583356795,51.35416574125003,327.53594970703125,2,blue,DC
25.18750023525,51.52916574055003,322.0528259277344,1,red,AC nivo 2
25.19583356855,51.55416574045003,317.17730712890625,2,blue,DC
25.40416690105,51.50416574065003,316.0815124511719,1,red,AC nivo 2
25.17083356865,51.41249907435003,314.6129455566406,1,red,AC nivo 2
25.37083356785,51.55416574045003,311.71380615234375,1,red,AC nivo 2
25.22083356845,51.55416574045003,309.7728271484375,2,blue,DC
25.26250023495,51.38749907445003,307.34088134765625,2,blue,DC
25.39583356775,51.35416574125003,306.5596923828125,2,blue,DC
25.387500234450002,51.48749907405003,304.8465881347656,2,blue,DC
25.40416690105,51.48749907405003,298.0014343261719,2,blue,DC
25.21250023515,51.512499073950025,296.2601623535156,3,yellow,Ultra brzi
25.36250023455,51.379165741150025,291.0010070800781,2,blue,DC
25.37916690115,51.36249907455003,289.884521484375,1,red,AC nivo 2
25.34583356795,51.40416574105003,283.3714599609375,1,red,AC nivo 2
25.32916690135,51.37083240785003,282.5391540527344,1,red,AC nivo 2
25.17916690195,51.48749907405003,278.7005310058594,2,blue,DC
25.27083356825,51.38749907445003,278.20758056640625,1,red,AC nivo 2
25.22083356845,51.38749907445003,277.2937316894531,1,red,AC nivo 2
25.36250023455,51.37083240785003,274.1285095214844,1,red,AC nivo 2
25.229166901750002,51.39583240775003,270.54681396484375,2,blue,DC
25.412500234350002,51.47916574075003,268.6634216308594,3,yellow,Ultra brzi
25.18750023525,51.49583240735003,268.08984375,1,red,AC nivo 2
25.34583356795,51.41249907435003,262.7391052246094,3,yellow,Ultra brzi
25.37083356785,51.37083240785003,260.5916442871094,1,red,AC nivo 2
25.387500234450002,51.35416574125003,256.1408386230469,4,green,AC nivo 2
25.40416690105,51.47916574075003,252.62232971191406,1,red,AC nivo 2
25.17083356865,51.50416574065003,251.9837188720703,2,blue,DC
